,bicycle.theft,x,y,xi,yi
2390,0.0,0.8235294117647058,0.09523809523809523,14,2
2493,0.0,0.8235294117647058,0.14285714285714285,14,3
2598,0.0,0.8235294117647058,0.19047619047619047,14,4
2704,0.0,0.8235294117647058,0.23809523809523808,14,5
2812,0.0,0.8235294117647058,0.2857142857142857,14,6
2920,0.0,0.8235294117647058,0.3333333333333333,14,7
3029,0.0,0.8235294117647058,0.38095238095238093,14,8
3141,1.0,0.8235294117647058,0.42857142857142855,14,9
3256,2.0,0.8235294117647058,0.47619047619047616,14,10
2494,0.0,0.8823529411764706,0.14285714285714285,15,3
2599,0.0,0.8823529411764706,0.19047619047619047,15,4
2705,0.0,0.8823529411764706,0.23809523809523808,15,5
2813,0.0,0.8823529411764706,0.2857142857142857,15,6
2921,1.0,0.8823529411764706,0.3333333333333333,15,7
3030,0.0,0.8823529411764706,0.38095238095238093,15,8
3257,1.0,0.8823529411764706,0.47619047619047616,15,10
2600,0.0,0.9411764705882353,0.19047619047619047,16,4
2706,0.0,0.9411764705882353,0.23809523809523808,16,5
2814,0.0,0.9411764705882353,0.2857142857142857,16,6
2601,1.0,1.0,0.19047619047619047,18,4
